Date,Futures_Price,USD_Spot_Price,USD_INR,Spot_INR_oz,Spot_INR_10g,Basis,RF,F_theoretical,Arbitrage,Cash_Carry,Reverse_Carry,Spot_Return,Futures_Return,RollingVol
2020-05-18,46652,1732.32,75.7,131136.624,42161.37219284004,4490.627807159959,0.0010499999672174453,42234.38028093544,4417.619719064562,True,False,-0.007862048226873612,-0.014893258559620422,0.012290270518592763
2020-05-19,47036,1745.11,75.645,132008.84595,42441.79785233173,4594.202147668271,0.0011800000071525575,42515.74581072791,4520.254189272091,True,False,0.006629224089854244,0.00819746713236592,0.011326435614491868
2020-05-20,47129,1749.5,75.555,132183.4725,42497.94154998634,4631.058450013661,0.0011800000071525575,42571.987329682,4557.012670317999,True,False,0.0013219655776208093,0.001975256841452913,0.011177223392397549
2020-05-21,46417,1726.34,75.62,130545.8308,41971.42791004228,4445.572089957721,0.0010999999940395355,42044.27986850747,4372.720131492533,True,False,-0.01246654171298178,-0.015222751360578378,0.011371215559627798
2020-05-22,47057,1736.07,75.95,131854.5165,42392.17981899143,4664.820181008567,0.0010999999940395355,42465.762098108586,4591.237901891414,True,False,0.009974808069304675,0.013693861418866702,0.011474934679709397
2020-05-26,46393,1712.45,75.459,129219.76455,41545.088028678445,4847.911971321555,0.0011800000071525575,41617.47361544834,4775.52638455166,True,False,-0.020184611005657008,-0.014211047078493041,0.01110775801983978
2020-05-27,46647,1709.25,75.92,129766.26000000001,41720.790264761206,4926.209735238794,0.0013500000536441803,41794.06595217906,4852.9340478209415,True,False,0.00422027607144367,0.005460030761371366,0.01066996502364657
2020-05-28,46474,1719.4,75.66,130089.804,41824.81199864967,4649.188001350332,0.001379999965429306,41898.37369371488,4575.626306285121,True,False,0.0024901798496510395,-0.0037156001123678545,0.010629082772006575
2020-05-29,46858,1728.3,75.605,130668.12150000001,42010.74525374958,4847.254746250423,0.0012800000607967378,42084.28806983312,4773.711930166879,True,False,0.004435673025852759,0.008228735413027002,0.010632776968495563
2020-06-01,47018,1740.34,75.505,131404.3717,42247.45501310142,4770.544986898582,0.0012800000607967378,42321.41220655894,4696.58779344106,True,False,0.00561869067555563,0.0034087552713821757,0.009767030912952394
2020-06-02,46796,1727.97,75.1,129770.54699999999,41722.16856623853,5073.831433761472,0.0014499999582767487,41795.79019971899,5000.209800281009,True,False,-0.012511507774362034,-0.004732777930475308,0.009999655622187627
2020-06-03,46203,1698.63,75.325,127949.30475000001,41136.626022794866,5066.373977205134,0.0014800000190734863,41209.31603831317,4993.683961686831,True,False,-0.01413373906228977,-0.01275299814091689,0.010324451212220535
2020-06-04,46781,1711.84,75.459,129173.73456,41530.28905428649,5250.710945713508,0.0014000000059604645,41603.40113011301,5177.598869886991,True,False,0.0095241489745999,0.012432406539808136,0.010342215336877769
2020-06-05,46346,1685.83,75.56,127381.3148,40954.013149645536,5391.986850354464,0.0014499999582767487,41026.279320107664,5319.720679892336,True,False,-0.013973211040931193,-0.009342149188557266,0.010606824755620959
2020-06-08,46110,1695.47,75.4,127838.43800000001,41100.9815615606,5009.0184384394015,0.0015299999713897705,41173.7777987288,4936.222201271201,True,False,0.0035821967838069093,-0.005105142177074872,0.01060532836858423
2020-06-09,46595,1714.57,75.505,129458.60784999999,41621.87787548025,4973.122124519752,0.0016500000655651093,41696.00794770859,4898.992052291411,True,False,0.012593935999623728,0.010463393019004634,0.01078933512363964
2020-06-10,46629,1737.1,75.635,131385.5585,42241.406433359596,4387.593566640404,0.0016500000655651093,42316.63990839163,4312.360091608367,True,False,0.014774995594957837,0.000729425931251714,0.011072088254954999
2020-06-11,47405,1727.51,75.971,131240.66221,42194.82122912213,5210.178770877872,0.0015299999713897705,42269.55482663644,5135.445173363558,True,False,-0.0011034412657671198,0.016505043201051717,0.011013833537320368
